hip,ra,dec,magnitude,B-V
239,0.7431666666666666,3.3819444444444446,8.56,0.521
240,0.74375,9.795222222222222,10.81,0.565
241,0.7519583333333333,9.138305555555554,8.76,1.01
242,0.7521666666666667,-34.744055555555555,7.76,0.967
243,0.753375,-60.69188888888888,7.82,1.041
244,0.758875,39.99513888888889,7.9,0.668
245,0.7635833333333333,-7.815527777777778,8.52,1.036
246,0.7636666666666667,56.73319444444444,9.73,0.99
247,0.7655416666666667,8.261416666666667,9.19,0.346
248,0.76575,8.270805555555556,8.1,0.342
249,0.7742083333333334,31.87011111111111,8.75,0.552
250,0.7743333333333333,52.46516666666667,8.14,0.88
251,0.7754166666666666,-25.261055555555554,8.65,1.349
252,0.7795833333333333,29.485972222222223,10.3,1.082
253,0.7825833333333333,-24.145138888888887,6.46,1.176
254,0.7846666666666666,42.74791666666667,6.73,0.051
255,0.7945416666666667,-24.588277777777776,7.96,0.421
256,0.7965833333333333,54.51583333333333,9.53,0.461
257,0.803,-31.21238888888889,8.87,0.081
258,0.8053333333333333,17.55238888888889,6.59,1.122
259,0.8059166666666666,48.72233333333334,8.65,1.455
260,0.8170833333333334,-55.40508333333333,9.64,0.432
261,0.8205,-23.615333333333336,9.15,0.424
262,0.8257916666666667,32.84586111111111,9.04,0.422
263,0.82925,4.687138888888889,12.04,1.473
264,0.8320833333333333,38.24402777777778,8.42,1.174
266,0.835375,-11.945222222222222,8.09,1.125
265,0.835375,-64.47608333333334,9.06,1.688
267,0.8354166666666667,-4.145722222222223,8.09,0.455
268,0.8417916666666667,59.078611111111115,8.18,1.462
269,0.8420416666666667,23.575055555555554,8.77,1.125
270,0.8500416666666667,73.17450000000001,7.36,0.146
271,0.8527916666666666,-35.96516666666667,9.16,0.232
272,0.8555,-26.41519444444444,8.82,0.979
273,0.856875,-46.83097222222222,11.14,0.041
274,0.8571666666666666,63.64052777777778,6.24,0.332
275,0.8576666666666667,-29.000611111111112,9.44,0.439
276,0.8579166666666667,20.665916666666664,7.49,0.636
277,0.8592916666666667,-36.251194444444444,6.96,0.353
278,0.863125,55.550888888888885,7.94,-0.023
279,0.8637916666666666,62.35780555555556,8.69,0.12
280,0.86625,53.31269444444444,8.15,0.134
281,0.8761666666666666,55.05994444444444,8.45,1.655
282,0.8764166666666666,19.381583333333335,7.92,1.408
283,0.8771666666666667,12.356833333333332,7.45,0.353
284,0.8783333333333333,-65.82755555555555,9.01,0.956
285,0.8806666666666667,-35.602222222222224,8.55,1.212
286,0.8812916666666667,78.71780555555556,9.23,1.006
287,0.8857916666666666,-13.227277777777777,9.16,1.538
288,0.8887499999999999,42.352222222222224,7.9,1.071
289,0.902375,-51.809083333333334,8.68,1.011
290,0.9041250000000001,-31.094027777777775,7.78,0.563
291,0.9045416666666667,-28.41713888888889,8.21,-0.123
292,0.9087083333333333,70.30602777777777,8.11,-0.019
293,0.9159166666666667,-57.16444444444444,8.29,0.488
294,0.9171666666666667,3.907,7.89,0.401
295,0.9186666666666666,-41.09586111111111,9.67,0.397
296,0.9220833333333334,-28.39586111111111,8.24,0.78
297,0.9244583333333334,48.43691666666666,6.8,0.06
298,0.9269583333333333,13.365194444444445,8.18,1.015
299,0.9337916666666667,-63.60066666666667,8.44,0.508
301,0.934875,-17.33597222222222,4.55,-0.047
300,0.9349166666666666,42.0235,7.45,0.244
302,0.965125,66.71219444444445,6.31,1.629
303,0.9691666666666667,57.378277777777775,8.15,0.316
304,0.9697916666666666,22.296083333333335,8.27,0.136
305,0.9720833333333333,-28.39377777777778,7.66,0.741
306,0.97475,-57.83036111111112,8.59,0.616
307,0.9797083333333334,-42.5595,11.55,1.26
308,0.9835416666666666,14.378916666666667,7.09,0.303
309,0.9859166666666667,-45.28861111111111,8.54,0.23
310,0.9874166666666666,-43.1915,9.58,0.7
311,0.9875833333333334,36.970222222222226,8.44,0.456
312,0.9895833333333334,61.10363888888889,8.59,0.36
313,0.9910833333333333,-48.125194444444446,8.01,0.406
314,0.9917083333333333,20.953805555555554,8.29,0.54
315,0.9922083333333334,-71.27863888888889,9.62,0.657
316,1.001,12.145833333333332,7.26,0.355
317,1.0025416666666667,-80.39508333333335,7.91,0.314
318,1.0096666666666667,-38.594750000000005,9.45,1.115
319,1.0158333333333334,62.221944444444446,8.19,0.26
321,1.0326666666666666,-25.892555555555553,8.93,0.607
322,1.0351666666666666,56.921,7.65,0.992
324,1.0425416666666667,17.436694444444445,8.53,0.491
323,1.0427083333333333,49.870194444444444,7.38,1.003
325,1.043625,39.12013888888889,8.56,0.615
326,1.0448333333333333,11.264388888888888,8.76,1.692
327,1.0461666666666667,-4.926111111111111,9.56,0.39
328,1.0495416666666666,-30.134916666666665,7.09,-0.085
329,1.051375,-10.141277777777777,9.83,0.699
330,1.0569166666666667,62.28766666666667,5.9,0.274
331,1.0594999999999999,-26.95236111111111,10.8,0.882
332,1.0608333333333333,-34.41466666666666,8.41,0.563
333,1.0630416666666667,-17.424861111111113,9.05,0.16
334,1.063875,60.155027777777775,8.79,0.08
335,1.066,14.08161111111111,8.88,0.253
336,1.0665833333333334,65.15297222222223,7.59,1.68
337,1.06725,-25.915,9.6,0.75
338,1.0673333333333332,66.34913888888889,10.66,1.45
339,1.0687083333333334,-59.315194444444444,8.55,0.037
340,1.0738333333333334,-43.98833333333334,8.11,0.484
341,1.0775,-23.253944444444443,9.44,1.069
342,1.079,-20.56875,9.6,0.549
343,1.0823333333333334,-16.528888888888886,5.78,1.084
344,1.0836666666666666,40.109944444444444,10.66,1.5
345,1.0845833333333332,-29.268833333333333,6.38,0.006
346,1.0877916666666667,-53.90947222222222,8.8,1.031
347,1.0887083333333334,54.27461111111111,7.79,-0.089
348,1.0887916666666666,12.957055555555554,8.6,0.64
349,1.095375,-29.381583333333335,7.77,-0.058
350,1.0992916666666666,-57.322861111111116,10.37,1.1
351,1.102625,-47.06813888888889,9.8,0.855
352,1.1100833333333333,58.06877777777778,10.42,0.8
353,1.1110416666666667,-44.56733333333334,11.63,0.971
354,1.1233333333333333,51.82930555555556,9.22,1.001
355,1.1255,-10.5095,4.99,1.619
356,1.1257083333333333,-6.965333333333334,8.43,0.611
357,1.1272083333333334,-72.89722222222223,7.33,0.444
358,1.139375,-76.34652777777778,8.93,1.025
359,1.14425,-76.87352777777777,9.09,0.639
360,1.1455,71.96855555555555,9.26,1.162
361,1.1477916666666665,-71.69500000000001,8.73,1.036
362,1.150625,-19.43786111111111,9.18,1.169
363,1.1517083333333333,43.55130555555555,8.12,2.53
364,1.1520416666666666,-15.889194444444444,9.26,1.149
366,1.1524583333333334,-31.169055555555556,8.94,1.181
365,1.1525,42.092555555555556,6.11,0.159
367,1.1556250000000001,-81.34530555555556,9.13,0.239
368,1.1560833333333334,2.9372222222222226,7.9,1.249
369,1.1589166666666666,29.722305555555554,9.34,0.95
370,1.1594166666666665,-51.58336111111112,7.13,1.26
371,1.1603333333333334,-50.03594444444444,10.82,1.021
372,1.1655833333333334,-70.40422222222223,7.46,1.072
373,1.166,-8.184916666666666,8.72,1.508
374,1.1670416666666668,34.26519444444445,7.02,1.1
376,1.1715833333333334,6.522583333333333,8.37,0.881
377,1.171875,-71.43686111111111,5.59,-0.1
378,1.1719166666666667,14.965333333333332,7.37,0.422
379,1.1743333333333332,67.16638888888889,5.68,1.051
380,1.1779583333333332,17.069777777777777,8.56,0.792
381,1.1851666666666667,51.53386111111111,8.72,-0.014
382,1.1881666666666666,-32.36102777777778,9.06,0.368
383,1.188875,0.0565,8.82,0.433
384,1.192875,1.5369444444444442,8.18,0.376
385,1.1951666666666667,38.173833333333334,9.39,0.735
386,1.2039583333333335,68.18869444444445,9.1,0.652
387,1.208125,38.78622222222222,8.46,0.556
388,1.21025,6.4166944444444445,9.15,0.394
389,1.2117083333333334,-29.633055555555558,8.28,0.002
391,1.2119583333333332,43.970777777777776,8.18,0.43
392,1.2165,30.085944444444443,7.93,0.478
393,1.2182916666666666,51.98258333333334,9.21,0.964
394,1.2217083333333334,34.659555555555556,6.09,0.632
395,1.2221666666666666,-30.256611111111113,8.31,0.036
396,1.224625,-31.99661111111111,7.83,1.256
397,1.2252916666666667,52.24894444444445,8.72,0.082
398,1.2290416666666666,58.53216666666667,6.61,0.025
399,1.2330416666666666,26.648805555555555,6.25,1.368
400,1.2336666666666667,23.26963888888889,7.82,0.755
401,1.2342083333333334,56.05697222222222,8.66,1.614
